source_row	split	label	text
1522	train	spam	URGENT! Your Mobile No was awarded a 2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate
4510	validation	ham	Not able to do anything.
612	train	spam	22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
4809	train	spam	PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
5543	train	spam	ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O 250 3 WANT 800
4268	train	ham	The greatest test of courage on earth is to bear defeat without losing heart....gn tc
370	train	ham	Wat uniform? In where get?
2270	validation	spam	88066 FROM 88066 LOST 3POUND HELP
2355	train	spam	Please CALL 08712402902 immediately as there is an urgent message waiting for you.
1611	train	ham	You all ready for * big day tomorrow?
5041	test	ham	Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
320	train	spam	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
3805	train	ham	Yup song bro. No creative. Neva test quality. He said check review online.
3743	train	spam	2/2 146tf150p
3300	train	spam	This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
3524	train	ham	Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx
3829	train	spam	Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost3.75max
4103	test	spam	GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@1.50rcvd
604	validation	ham	Speaking of does he have any cash yet?
711	train	spam	4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
903	validation	ham	How is it possible to teach you. And where.
2201	train	ham	Not sure I have the stomach for it ...
4074	validation	spam	Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
3863	train	spam	Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
1422	train	ham	No. She's currently in scotland for that.
2190	test	spam	FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
226	train	spam	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY 1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
5193	test	spam	Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
1654	train	spam	For ur chance to win a 250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk
4647	test	ham	Are you planning to come chennai?
1459	validation	spam	CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls1/minmoremobsEMSPOBox45PO139WA
107	train	ham	Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
2116	test	spam	Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop
5297	train	spam	XMAS iscoming & ur awarded either 500 CD gift vouchers & free entry 2 r 100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
5123	test	spam	PRIVATE! Your 2003 Account Statement for 078
1795	validation	ham	You bad girl. I can still remember them
4259	train	spam	important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
3793	train	spam	Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)
1269	test	ham	SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
3552	train	ham	Dad wanted to talk about the apartment so I got a late start, omw now
3445	train	ham	Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
2106	train	ham	Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
931	train	spam	money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over 1million to give away ! ppt150x3+normal text rate box403 w1t1jy
2627	test	spam	"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only 1.50/wk."
4689	validation	ham	Eatin my lunch...
1876	test	spam	Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
369	train	spam	Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
4421	train	ham	How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already ...
873	train	ham	Its going good...no problem..but still need little experience to understand american customer voice...
2400	train	ham	YO YO YO BYATCH WHASSUP?
4036	test	ham	Wot u up 2? Thout u were gonna call me!! Txt bak luv K
4321	train	ham	Are you still playing with gautham?
2736	train	ham	Can you do a mag meeting this avo at some point?
3311	train	ham	Okie u wan meet at bishan? Cos me at bishan now. I'm not driving today.
540	validation	ham	Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
2591	test	spam	Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p
419	test	spam	FREE entry into our 250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
3973	train	spam	Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
3687	test	ham	Wake me up at &lt;#&gt; am morning:)
5404	train	ham	Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
4950	validation	spam	Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...
5396	train	ham	All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!
2980	train	ham	Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
3255	train	ham	K:)k..its good:)when are you going?
2451	train	ham	Then she dun believe wat?
2113	train	ham	Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
4907	validation	spam	Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
269	test	spam	Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
976	train	ham	Eh u send wrongly lar...
35	train	spam	Thanks for your subscription to Ringtone UK your mobile will be charged 5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
1113	validation	ham	Awesome, think we can get an 8th at usf some time tonight?
1098	validation	spam	Dear Subscriber ur draw 4 100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
423	validation	spam	Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
1194	test	ham	I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
