split	label	text
train	ham	Old Orchard near univ. How about you?
train	ham	S but mostly not like that.
train	spam	Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
train	ham	Still in customer place
train	spam	RGENT! This is the 2nd attempt to contact U!U have WON 1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max7. 50
train	ham	My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...
train	ham	Sorry, I'll call later
train	spam	1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
train	spam	ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
test	ham	Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
test	spam	Todays Voda numbers ending with 7634 are selected to receive a 350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
train	spam	Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
test	ham	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
test	spam	SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE
train	ham	U buy newspapers already?
train	spam	Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
train	ham	cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
train	ham	Surely result will offer:)
validation	spam	Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
test	ham	Ok but tell me half an hr b4 u come i need 2 prepare.
train	ham	It's wylie, you in tampa or sarasota?
train	spam	Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
train	ham	Yeah I should be able to, I'll text you when I'm ready to meet up
train	ham	Oh just getting even with u.... u?
train	ham	Havent.
validation	ham	How is your schedule next week? I am out of town this weekend.
train	ham	Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*
validation	spam	You've won tkts to the EURO2004 CUP FINAL or 800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm
